# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	63164
#@/user_id	4232a789-02e2-4ed5-b0bb-ca190859e4b9
a 	啊	c=208 d=0.826959 t=63164
zhai quan 	債權	c=40 d=0.774028 t=63164
zhai quan bi li 	債權比例	c=2 d=2.31482e-58 t=63164
zhai quan re 	債權熱	c=1 d=6.42114e-54 t=63164
zhai quan ren 	債權人	c=13 d=0.161066 t=63164
zhai quan shou rang ren 	債權受讓人	c=2 d=1.58296e-37 t=63164
zhai quan zhai wu ren 	債權債務人	c=2 d=9.59355e-34 t=63164
zhai wu 	債務	c=29 d=1.5867 t=63164
zhai wu ren 	債務人	c=18 d=0.637905 t=63164
zhai yao 	摘要	c=8 d=1.64217e-12 t=63164
zhan 	佔	c=3 d=5.04348e-07 t=63164
zhan 	站	c=18 d=0.000698915 t=63164
zhan dian 	站點	c=2 d=2.03995e-05 t=63164
zhan ju 	佔據	c=3 d=4.62132e-08 t=63164
zhan lan 	展覽	c=5 d=1.33691e-38 t=63164
zhan man 	佔滿	c=1 d=4.0468e-05 t=63164
zhan man 	沾滿	c=1 d=4.02661e-05 t=63164
zhan mei zi 	站妹子	c=1 d=1.04999e-15 t=63164
zhan nei 	站內	c=0 d=1.14809e-08 t=63164
zhan nei xin 	站內信	c=3 d=3.62319e-06 t=63164
zhan nei xin 	站內心	c=1 d=1.14809e-07 t=63164
zhan shi 	展示	c=12 d=3.15218e-07 t=63164
zhan tie 	粘貼	c=1 d=6.54995e-23 t=63164
zhan tou xi 	斬頭息	c=1 d=2.39179e-24 t=63164
zhan xian 	戰線	c=1 d=0.546074 t=63164
zhan xiao 	展銷	c=1 d=2.49882e-39 t=63164
zhan yi 	佔一	c=0 d=6.76114e-15 t=63164
zhan yi hang 	佔一行	c=1 d=6.79503e-14 t=63164
zhan yong 	佔用	c=5 d=1 t=60851
zhan you 	佔有	c=22 d=0.741962 t=63164
zhan you fan huan 	佔有返還	c=1 d=1.06782e-66 t=63164
zhan you fan huan qing qiu quan 	佔有返還請求權	c=6 d=1.93577 t=63164
zhan you gai ding 	佔有改定	c=2 d=6.20068e-47 t=63164
zhan you ji shou ren 	佔有繼受人	c=1 d=1.30423e-66 t=63164
zhan you ren 	佔有人	c=5 d=0.330082 t=63164
zhan you tuo li wu 	佔有脫離物	c=1 d=5.50495e-37 t=63164
zhan you wei tuo wu 	佔有委託物	c=1 d=5.4775e-37 t=63164
zhan zai 	站在	c=3 d=6.85865e-06 t=63164
zhang 	張	c=3 d=6.47354e-33 t=63164
zhang 	漲	c=7 d=1.91708e-20 t=63164
zhang 	賬	c=1 d=2.19614e-20 t=63164
zhang 	長	c=1 d=6.46033e-08 t=63164
zhang ben 	賬本	c=1 d=9.71075e-38 t=63164
zhang cheng 	長成	c=1 d=2.01129e-15 t=63164
zhang de 	長得	c=18 d=4.66446e-26 t=63164
zhang de hao kan 	長得好看	c=1 d=1.219e-65 t=63164
zhang dong 	長洞	c=1 d=1 t=63164
zhang duo 	掌舵	c=1 d=2.9133e-21 t=63164
zhang hao 	帳號	c=10 d=1.55752e-07 t=63164
zhang hao 	賬號	c=3 d=3.72124e-11 t=63164
zhang hu 	賬戶	c=11 d=2.96258e-21 t=63164
zhang hu li 	賬戶裏	c=1 d=1.71654e-33 t=63164
zhang hui 	漲回	c=1 d=1.48686e-49 t=63164
zhang hui yan 	張惠燕	c=3 d=2.38391e-32 t=63164
zhang jia 	漲價	c=1 d=1.50053e-39 t=63164
zhang meng 	漲萌	c=1 d=0.00121259 t=63164
zhang mian 	賬面	c=0 d=5.00419e-63 t=63164
zhang mian jia zhi 	賬面價值	c=1 d=5.02927e-62 t=63164
zhang peng 	帳篷	c=0 d=1.64329e-21 t=63164
zhang peng shi 	帳篷式	c=1 d=1.65153e-20 t=63164
zhang shao han 	張韶涵	c=1 d=5.08447e-14 t=63164
zhang shuang gen 	張雙根	c=1 d=0.0720785 t=63164
zhang tian ai 	張天愛	c=1 d=4.47621e-15 t=63164
zhang wo 	掌握	c=6 d=7.85399e-12 t=63164
zhang xiang 	長相	c=1 d=1.1889e-65 t=63164
zhang yu 	張宇	c=1 d=1 t=63147
zhang yu 	張鈺	c=1 d=5.74836e-46 t=63164
zhang yu han 	張鈺涵	c=6 d=1.33011e-44 t=63164
zhang yu qi 	張雨綺	c=1 d=2.41115e-60 t=63164
zhao 	找	c=73 d=0.674634 t=63164
zhao 	招	c=2 d=4.10852e-36 t=63164
zhao bu dao 	找不到	c=9 d=0.0273237 t=63164
zhao chu 	找出	c=4 d=2.96095e-06 t=63164
zhao dai 	招待	c=1 d=4.73493e-30 t=63164
zhao dao 	找到	c=21 d=0.0397558 t=63164
zhao dao li you 	找到理由	c=1 d=1.18732e-20 t=63164
zhao dao ren 	找到人	c=1 d=2.26618e-07 t=63164
zhao de 	找得	c=1 d=4.23509e-40 t=63164
zhao dian 	找點	c=3 d=4.08958e-37 t=63164
zhao feng 	兆豐	c=1 d=6.0924e-24 t=63164
zhao ge 	找個	c=16 d=4.2985e-09 t=63164
zhao gong zuo 	找工作	c=6 d=4.35292e-12 t=63164
zhao gu 	照顧	c=1 d=9.48743e-29 t=63164
zhao hang 	招行	c=15 d=5.03131e-08 t=63164
zhao hui 	找回	c=1 d=2.86993e-21 t=63164
zhao ji ge 	找幾個	c=1 d=7.73574e-10 t=63164
zhao mu 	招募	c=5 d=0.00129318 t=63164
zhao ni 	找你	c=5 d=0.00256704 t=63164
zhao pian 	照片	c=13 d=4.71789e-16 t=63164
zhao pin 	招聘	c=15 d=0.0536381 t=63164
zhao pin ji 	招聘季	c=1 d=9.46938e-36 t=63164
zhao qi 	沼氣	c=6 d=1.94596e-38 t=63164
zhao qi chi 	沼氣池	c=7 d=2.09169e-38 t=63164
zhao ren 	找人	c=3 d=0.000907334 t=63164
zhao ren 	招人	c=1 d=3.31764e-50 t=63164
zhao ru 	招入	c=1 d=2.06754e-16 t=63164
zhao shang 	招商	c=5 d=1.89973e-20 t=63164
zhao shang yin hang 	招商銀行	c=2 d=8.62146e-50 t=63164
zhao shang zhong zheng bai jiu 	招商中證白酒	c=1 d=1.63504e-49 t=63164
zhao ta 	找他	c=1 d=1.14629e-18 t=63164
zhao yang 	照樣	c=1 d=2.78985e-41 t=63164
zhao ying 	照應	c=1 d=1.78537e-25 t=63164
zhao zhao 	找找	c=2 d=4.26602e-08 t=63164
zhao zhao 	朝朝	c=0 d=1.27893e-13 t=63164
zhao zhao ying 	朝朝盈	c=1 d=1.28534e-12 t=63164
zhe 	折	c=1 d=2.69995e-38 t=63164
zhe 	着	c=15 d=0.057045 t=63164
zhe 	者	c=21 d=0.137381 t=63164
zhe 	這	c=104 d=0.756553 t=63164
zhe ba 	這把	c=1 d=3.03529e-33 t=63164
zhe ben shu 	這本書	c=1 d=5.39319e-31 t=63164
zhe bi 	這筆	c=1 d=2.55321e-57 t=63164
zhe bi qian 	這筆錢	c=1 d=6.52262e-62 t=63164
zhe bian 	這邊	c=22 d=5.26817e-05 t=63164
zhe bo 	這波	c=1 d=1.29667e-27 t=63164
zhe bu 	這不	c=2 d=7.67312e-32 t=63164
zhe bu fen 	這部分	c=11 d=0.504241 t=63164
zhe bu fen er 	這部分而	c=1 d=1.30228e-19 t=63164
zhe bu shi 	這不是	c=1 d=1 t=60986
zhe cai shi 	這纔是	c=1 d=2.9502e-22 t=63164
zhe ce 	這測	c=2 d=5.5633e-14 t=63164
zhe ci 	這次	c=4 d=2.7438e-24 t=63164
zhe dai 	這代	c=1 d=7.67467e-05 t=63164
zhe dang 	遮擋	c=1 d=2.43042e-36 t=63164
zhe dian 	這點	c=6 d=0.071177 t=63164
zhe dian qian 	這點錢	c=1 d=0.715338 t=63164
zhe die 	摺疊	c=1 d=1.95006e-63 t=63164
zhe duan 	這段	c=2 d=9.77137e-23 t=63164
zhe er 	這兒	c=1 d=2.14593e-42 t=63164
zhe fan 	這番	c=1 d=1 t=56721
zhe fang 	這方	c=1 d=2.30717e-12 t=63164
zhe fang mian 	這方面	c=1 d=5.39796e-12 t=63164
zhe fen 	這份	c=1 d=2.61028e-23 t=63164
zhe ge 	這個	c=403 d=4.70889 t=63164
zhe ge 	這歌	c=5 d=3.63589e-53 t=63164
zhe ge ci 	這個詞	c=2 d=1.15364e-05 t=63164
zhe ge qun 	這個羣	c=1 d=1.80491e-06 t=63164
zhe ge ren 	這個人	c=1 d=2.90668e-53 t=63164
zhe ge shi hou 	這個時候	c=1 d=5.22012e-59 t=63164
zhe ge shu 	這個書	c=1 d=5.15588e-31 t=63164
zhe ge wen ti 	這個問題	c=1 d=1.87787e-31 t=63164
zhe ge yue 	這個月	c=3 d=6.39932e-14 t=63164
zhe ge zhi 	這個值	c=1 d=1 t=58394
zhe gou 	這狗	c=1 d=3.75159e-55 t=63164
zhe gu 	這股	c=1 d=0.000500451 t=63164
zhe hai zi 	這孩子	c=1 d=3.17284e-25 t=63164
zhe hang 	這行	c=3 d=1.93239 t=62277
zhe hua 	這話	c=2 d=2.37622e-06 t=63164
zhe hui er 	這會兒	c=1 d=2.5175e-09 t=63164
zhe hui shi 	這回事	c=1 d=3.78877e-24 t=63164
zhe ji tian 	這幾天	c=7 d=0.000463913 t=63164
zhe jia 	這家	c=1 d=3.78532e-50 t=63164
zhe jia gong si 	這家公司	c=1 d=3.68494e-50 t=63164
zhe jiao 	這叫	c=1 d=1.91744e-41 t=63164
zhe jiu 	這就	c=2 d=3.82685e-24 t=63164
zhe jiu shi 	這就是	c=6 d=0.0159229 t=63164
zhe ju hua 	這句話	c=5 d=3.48953e-19 t=63164
zhe kuai 	這塊	c=3 d=4.40582e-05 t=63164
zhe kuan 	這款	c=3 d=2.23206e-05 t=63164
zhe lei 	這類	c=4 d=1.19185e-06 t=63164
zhe lei ren 	這類人	c=1 d=6.19079e-36 t=63164
zhe li 	哲理	c=1 d=6.48457e-52 t=63164
zhe li 	這裏	c=68 d=2.14954 t=63164
zhe liang ge 	這兩個	c=1 d=1 t=62345
zhe lin ge 	這淋哥	c=1 d=8.01375e-43 t=63164
zhe me 	這麼	c=60 d=0.99005 t=63164
zhe me duo 	這麼多	c=1 d=1 t=61563
zhe me hao 	這麼好	c=2 d=1.42105 t=59631
zhe me hao ting 	這麼好聽	c=1 d=1 t=60877
zhe me jiu 	這麼久	c=2 d=3.47223e-27 t=63164
zhe me kou 	這麼摳	c=1 d=2.53227e-19 t=63164
zhe me nian 	這麼年	c=2 d=4.39893e-16 t=63164
zhe me qiao 	這麼巧	c=1 d=0.0808629 t=63164
zhe me que qian 	這麼缺錢	c=1 d=1.25382e-14 t=63164
zhe pian 	這篇	c=1 d=1.12573e-11 t=63164
zhe que 	這卻	c=1 d=4.28639e-64 t=63164
zhe qun 	這羣	c=1 d=3.35555e-66 t=63164
zhe shi 	這是	c=27 d=0.91508 t=63164
zhe shi ge 	這是個	c=1 d=1 t=55466
zhe shi hou 	這時候	c=2 d=1.02636e-12 t=63164
zhe shi yin wei 	這是因爲	c=1 d=2.99988e-42 t=63164
zhe shou 	這首	c=0 d=1.51123e-06 t=63164
zhe shou ci 	這首詞	c=1 d=1.51881e-05 t=63164
zhe teng 	折騰	c=2 d=0.00273944 t=63164
zhe tu 	這圖	c=1 d=4.21396e-40 t=63164
zhe wan yi er 	這玩意兒	c=1 d=1.15141e-41 t=63164
zhe xia 	這下	c=2 d=0.00213348 t=63164
zhe xie 	這些	c=36 d=0.000725383 t=63164
zhe xie ren 	這些人	c=1 d=3.9473e-65 t=63164
zhe yang 	這樣	c=98 d=0.766864 t=63164
zhe yang gao 	這樣搞	c=1 d=7.17533e-37 t=63164
zhe yang zi 	這樣子	c=1 d=2.0818e-38 t=63164
zhe yang zuo 	這樣做	c=1 d=2.70271e-50 t=63164
zhe ye shi 	這也是	c=1 d=0.00042433 t=63164
zhe yi 	這一	c=0 d=2.4607e-65 t=63164
zhe yi bo 	這一波	c=1 d=2.47303e-64 t=63164
zhe yi bu 	這一步	c=3 d=0.0374406 t=63164
zhe yi ci 	這一次	c=1 d=1.21987e-44 t=63164
zhe yi dian 	這一點	c=1 d=0.748264 t=63164
zhe yi duan 	這一段	c=1 d=7.83771e-17 t=63164
zhe yi sheng 	這一生	c=1 d=3.40869e-45 t=63164
zhe yi si 	這意思	c=1 d=4.03347e-25 t=63164
zhe yu 	這與	c=1 d=2.26372e-53 t=63164
zhe zhang 	這張	c=0 d=8.92096e-41 t=63164
zhe zhang tu 	這張圖	c=1 d=8.96568e-40 t=63164
zhe zhao 	這招	c=2 d=1.7564e-09 t=63164
zhe zhi 	這支	c=2 d=5.01451e-21 t=63164
zhe zhi gu 	這支股	c=1 d=1.77128e-20 t=63164
zhe zhong 	這種	c=41 d=0.499074 t=63164
zhe zhong qing kuang 	這種情況	c=1 d=7.73574e-10 t=63164
zhe zhong shi 	這種事	c=1 d=1.58402e-29 t=63164
zhe zhou 	這周	c=2 d=5.3242e-26 t=63164
zhe zhu 	遮住	c=1 d=3.88456e-53 t=63164
zhei li 	這裏	c=2 d=0.00145901 t=63164
zhen 	真	c=59 d=2.3891 t=63164
zhen 	鎮	c=1 d=5.2445e-55 t=63164
zhen bang 	真棒	c=1 d=1.30454e-10 t=63164
zhen bu shuang 	真不爽	c=1 d=2.2525e-24 t=63164
zhen de 	真的	c=4 d=1.33112e-12 t=63164
zhen dui 	針對	c=19 d=3.49056e-05 t=63164
zhen ge 	真格	c=1 d=4.34761e-25 t=63164
zhen hua 	真話	c=1 d=1.00464e-25 t=63164
zhen huan 	甄寰	c=1 d=5.19691e-36 t=63164
zhen jia 	真假	c=2 d=5.04605e-13 t=63164
zhen jing 	震驚	c=4 d=6.36474e-13 t=63164
zhen me 	真麼	c=1 d=1 t=62833
zhen ming 	真名	c=1 d=0.20089 t=63164
zhen qing 	真情	c=2 d=1.81834e-05 t=63164
zhen ren 	真人	c=1 d=0.00548905 t=63164
zhen shi 	珍視	c=1 d=6.87596e-65 t=63164
zhen shi 	真實	c=4 d=0.273898 t=63164
zhen shi 	真是	c=11 d=2.66627e-08 t=63164
zhen ti 	真題	c=4 d=2.0973e-37 t=63164
zhen xin 	真心	c=9 d=4.95504e-10 t=63164
zhen you 	真有	c=1 d=7.79016e-63 t=63164
zhen zheng 	真正	c=18 d=0.278037 t=63164
zheng 	掙	c=6 d=2.1144e-28 t=63164
zheng 	整	c=8 d=1.08415e-08 t=63164
zheng 	正	c=4 d=1.21887e-05 t=63164
zheng 	證	c=1 d=1.6013e-40 t=63164
zheng bu lai 	整不來	c=1 d=2.93249e-10 t=63164
zheng bu zheng 	整不整	c=1 d=2.17237e-39 t=63164
zheng ce 	政策	c=3 d=4.40193e-24 t=63164
zheng chang 	正常	c=13 d=0.748747 t=63164
zheng chu 	整齣	c=1 d=1.17507e-45 t=63164
zheng da 	睜大	c=1 d=3.29492e-28 t=63164
zheng dang 	正當	c=2 d=6.32682e-27 t=63164
zheng dao 	掙到	c=0 d=1.57859e-19 t=63164
zheng dao qian 	掙到錢	c=1 d=1.5865e-18 t=63164
zheng fu 	政府	c=1 d=4.63471e-42 t=63164
zheng fu za 	整複雜	c=1 d=1.08665e-07 t=63164
zheng ge 	整個	c=26 d=0.349349 t=63164
zheng ge huan jing 	整個環境	c=1 d=1 t=55072
zheng gui 	正規	c=3 d=1.17124e-36 t=63164
zheng gui 	正軌	c=0 d=3.46928e-18 t=63164
zheng hao 	正好	c=6 d=3.05698e-09 t=63164
zheng he 	整合	c=1 d=1.22008e-46 t=63164
zheng hui lai 	掙回來	c=1 d=1.06437e-28 t=63164
zheng li 	整理	c=1 d=1 t=60745
zheng mian 	正面	c=1 d=1.70414e-37 t=63164
zheng mian yu yan 	正面語言	c=1 d=1.71269e-36 t=63164
zheng ming 	證明	c=10 d=0.383682 t=63164
zheng pin 	正品	c=1 d=2.47859e-61 t=63164
zheng qi 	蒸汽	c=1 d=8.56679e-34 t=63164
zheng qian 	掙錢	c=6 d=3.53851e-09 t=63164
zheng quan 	證券	c=13 d=1.35563e-19 t=63164
zheng quan fen xi 	證券分析	c=1 d=2.57667e-47 t=63164
zheng quan jiao yi suo 	證券交易所	c=1 d=2.77349e-60 t=63164
zheng quan shi bao 	證券時報	c=1 d=3.41984e-54 t=63164
zheng que 	正確	c=10 d=2.98553e-15 t=63164
zheng rong 	整容	c=2 d=1.43895e-46 t=63164
zheng ru 	正如	c=1 d=9.44684e-08 t=63164
zheng shi 	正式	c=8 d=0.282239 t=63164
zheng shu 	整數	c=2 d=0.04256 t=63164
zheng shu 	正數	c=1 d=1 t=63121
zheng shu 	證書	c=1 d=1.87462e-40 t=63164
zheng ti 	整體	c=6 d=0.628634 t=63164
zheng ti 	正題	c=1 d=9.52657e-48 t=63164
zheng tian 	整天	c=1 d=7.49411e-19 t=63164
zheng wen 	正文	c=6 d=0.17402 t=63164
zheng yao 	正要	c=1 d=4.81975e-32 t=63164
zheng yi 	爭議	c=2 d=0.00199054 t=63164
zheng yi ci 	整一次	c=1 d=5.0156e-30 t=63164
zheng yi zheng 	整一整	c=1 d=1.02034e-31 t=63164
zheng zai 	正在	c=8 d=0.000720907 t=63164
zheng ze 	正則	c=10 d=3.18578e-10 t=63164
zheng zhe 	睜着	c=0 d=1.23003e-25 t=63164
zheng zhe yan jing 	睜着眼睛	c=1 d=1.2362e-24 t=63164
zhi 	之	c=20 d=0.10295 t=63164
zhi 	值	c=11 d=6.78803e-07 t=63164
zhi 	只	c=49 d=2.25145 t=63164
zhi 	吱	c=0 d=1.65975e-50 t=63164
zhi 	指	c=19 d=0.980199 t=63164
zhi 	智	c=0 d=2.21249e-20 t=63164
zhi 	止	c=0 d=3.0004e-45 t=63164
zhi 	治	c=1 d=1.15801e-20 t=63164
zhi 	知	c=1 d=9.46616e-32 t=63164
zhi 	至	c=4 d=4.9821e-10 t=63164
zhi bai 	直白	c=4 d=3.76354e-23 t=63164
zhi bao han 	只包含	c=1 d=7.49131e-44 t=63164
zhi bian 	質變	c=0 d=9.72729e-59 t=63164
zhi bo 	直播	c=3 d=0.88692 t=63164
zhi bu zhi 	值不值	c=1 d=2.3618e-52 t=63164
zhi bu zhi dao 	知不知道	c=2 d=3.87994e-39 t=63164
zhi chang 	職場	c=2 d=3.61265e-06 t=63164
zhi chang xin ren 	職場信任	c=1 d=7.71445e-07 t=63164
zhi chang xin ren 	職場新人	c=1 d=3.55347e-05 t=63164
zhi cheng 	支撐	c=1 d=2.32862e-62 t=63164
zhi chi 	支持	c=11 d=0.496585 t=63164
zhi chu 	之處	c=1 d=9.51846e-38 t=63164
zhi chu 	指出	c=1 d=2.77783e-49 t=63164
zhi chu 	支出	c=0 d=0.0210136 t=63164
zhi ci 	至此	c=2 d=4.59035e-17 t=63164
zhi da 	直達	c=2 d=2.511e-08 t=63164
zhi dai 	指代	c=1 d=1.51381e-25 t=63164
zhi dao 	之道	c=4 d=2.91567e-13 t=63164
zhi dao 	直到	c=4 d=0.000758392 t=63164
zhi dao 	知道	c=49 d=0.537976 t=63164
zhi dao xing 	指導性	c=1 d=1.693e-47 t=63164
zhi de 	值得	c=7 d=1.14571e-12 t=63164
zhi ding 	制定	c=1 d=3.27905e-30 t=63164
zhi ding 	指定	c=4 d=3.25199e-11 t=63164
zhi ding 	置頂	c=1 d=2.33512e-36 t=63164
zhi du 	制度	c=3 d=0.165164 t=63164
zhi du 	只讀	c=1 d=1.00099e-41 t=63164
zhi dui 	支隊	c=3 d=2.51285e-36 t=63164
zhi duo shao 	知多少	c=0 d=0.1 t=55161
zhi fu 	支付	c=14 d=0.00192207 t=63164
zhi fu bao 	支付寶	c=10 d=4.66127e-21 t=63164
zhi gan 	質感	c=1 d=2.08364e-19 t=63164
zhi guan 	只管	c=1 d=8.73539e-28 t=63164
zhi han 	只含	c=1 d=1 t=58465
zhi hou 	之後	c=51 d=0.613882 t=63164
zhi hu 	知乎	c=66 d=0.00453984 t=63164
zhi hui 	只會	c=2 d=1.91222e-09 t=63164
zhi hui 	智慧	c=2 d=2.6419e-47 t=63164
zhi jia 	之家	c=2 d=1.68563e-16 t=63164
zhi jia 	指甲	c=1 d=7.6346e-61 t=63164
zhi jian 	之間	c=8 d=0.0072265 t=63164
zhi jian 	質檢	c=1 d=3.50892e-33 t=63164
zhi jiang qing tiao 	指匠情挑	c=1 d=0.0558548 t=63164
zhi jie 	直接	c=71 d=0.45639 t=63164
zhi jie zhan you 	直接佔有	c=1 d=0.133989 t=63164
zhi jin 	只進	c=1 d=2.51049e-35 t=63164
zhi kan 	只看	c=1 d=1.23936e-54 t=63164
zhi lei 	之類	c=12 d=7.87329e-06 t=63164
zhi lian 	智聯	c=24 d=1.64285e-16 t=63164
zhi lian zhao pian 	智聯照片	c=2 d=5.06514e-28 t=63164
zhi lian zhao pin 	智聯招聘	c=1 d=1.13546e-24 t=63164
zhi liang 	質量	c=6 d=1.05762e-12 t=63164
zhi liao 	治療	c=3 d=0.722527 t=63164
zhi lu 	之路	c=0 d=6.49935e-21 t=63164
zhi mian 	直面	c=1 d=5.95837e-27 t=63164
zhi ming 	指明	c=4 d=1.0051 t=60802
zhi ming 	知名	c=1 d=1.82771e-36 t=63164
zhi nei 	之內	c=1 d=1.00478e-56 t=63164
zhi neng 	只能	c=35 d=0.214381 t=63164
zhi neng 	智能	c=1 d=8.31502e-36 t=63164
zhi neng shuo 	只能說	c=1 d=2.79469e-32 t=63164
zhi nv 	侄女	c=1 d=3.23749e-27 t=63164
zhi pa 	只怕	c=1 d=8.66173e-46 t=63164
zhi pai 	指派	c=1 d=1.41367e-14 t=63164
zhi qian 	之前	c=27 d=0.000270586 t=63164
zhi qian 	值錢	c=2 d=1.71252e-29 t=63164
zhi qian de 	之前的	c=1 d=9.44493e-35 t=63164
zhi qing 	只請	c=1 d=9.3287e-07 t=63164
zhi qing 	知情	c=1 d=7.42309e-54 t=63164
zhi qu 	只去	c=0 d=1.18503e-57 t=63164
zhi qu 	只取	c=1 d=8.59948e-20 t=63164
zhi qu guo 	只去過	c=1 d=1.19097e-56 t=63164
zhi qu xiang tou 	志趣相投	c=1 d=8.38145e-12 t=63164
zhi quan 	質權	c=15 d=0.238115 t=63164
zhi quan ren 	質權人	c=2 d=2.42182e-56 t=63164
zhi ren 	之人	c=0 d=0.00119742 t=63164
zhi ren 	治人	c=1 d=1.14077e-20 t=63164
zhi ri 	之日	c=1 d=9.95319e-34 t=63164
zhi shang 	智商	c=1 d=1 t=61191
zhi shao 	至少	c=19 d=2.17741e-07 t=63164
zhi sheng 	制勝	c=1 d=5.44832e-33 t=63164
zhi sheng 	只剩	c=1 d=3.18756e-50 t=63164
zhi shi 	之時	c=1 d=5.9964e-43 t=63164
zhi shi 	只是	c=57 d=0.755784 t=63164
zhi shi 	指使	c=1 d=8.51247e-18 t=63164
zhi shi 	指示	c=2 d=1.00032 t=58967
zhi shi 	知識	c=20 d=0.0235827 t=63164
zhi shi 	致使	c=1 d=6.42332e-58 t=63164
zhi shi chan quan 	知識產權	c=2 d=5.41377e-17 t=63164
zhi shi dian 	知識點	c=3 d=5.12215e-42 t=63164
zhi shu 	指數	c=36 d=1.91652e-07 t=63164
zhi shu 	質數	c=2 d=0.0403566 t=63164
zhi su 	質素	c=1 d=1.26268e-38 t=63164
zhi suo yi 	之所以	c=2 d=2.2232e-17 t=63164
zhi ti huan 	只替換	c=1 d=4.42324e-22 t=63164
zhi ting 	只聽	c=1 d=1.3138e-05 t=63164
zhi tong dao he 	志同道合	c=1 d=3.06694e-08 t=63164
zhi tou 	指頭	c=1 d=1.24515e-50 t=63164
zhi wai 	之外	c=3 d=7.0661e-33 t=63164
zhi wang 	知網	c=3 d=1.53454e-38 t=63164
zhi wei 	職位	c=2 d=1.30565e-20 t=63164
zhi wu 	植物	c=2 d=0.0443412 t=63164
zhi xia 	之下	c=1 d=8.51971e-28 t=63164
zhi xian 	直線	c=0 d=9.4942e-09 t=63164
zhi xiang 	只想	c=1 d=0.0480747 t=63164
zhi xiang 	指向	c=3 d=7.48773e-09 t=63164
zhi xing 	執行	c=13 d=2.83751 t=63164
zhi xing zhong zhi 	執行中止	c=1 d=0.913931 t=63164
zhi xu yao 	只需要	c=10 d=5.32949e-07 t=63164
zhi ya 	質押	c=4 d=7.79837e-46 t=63164
zhi yao 	只要	c=34 d=0.00489275 t=63164
zhi ye 	執業	c=1 d=9.85583e-36 t=63164
zhi ye 	職業	c=4 d=1.48156e-07 t=63164
zhi ye zheng 	執業證	c=1 d=1.60933e-39 t=63164
zhi yi 	之一	c=3 d=4.20601e-07 t=63164
zhi yi 	質疑	c=1 d=2.39431e-07 t=63164
zhi yi sheng 	吱一聲	c=1 d=1.66807e-49 t=63164
zhi yin 	指引	c=1 d=1 t=55212
zhi yong 	只用	c=2 d=2.02234e-50 t=63164
zhi yong yu 	只用於	c=1 d=1 t=62194
zhi you 	只有	c=25 d=0.28426 t=63164
zhi yu 	之餘	c=1 d=1.58899e-07 t=63164
zhi yu 	至於	c=9 d=7.8163e-14 t=63164
zhi zai 	只在	c=1 d=8.46253e-37 t=63164
zhi zai 	旨在	c=1 d=1.47563e-48 t=63164
zhi zao 	製造	c=2 d=4.47073e-30 t=63164
zhi zhe 	指着	c=1 d=4.94513e-40 t=63164
zhi zhi 	紙質	c=2 d=2.06537e-33 t=63164
zhi zhu 	支柱	c=1 d=4.13756e-60 t=63164
zhi zhuan 	只賺	c=1 d=4.78399e-62 t=63164
zhi zuo 	只做	c=2 d=3.1079e-17 t=63164
zhi zuo 	製作	c=5 d=0.000116223 t=63164
zhong 	中	c=86 d=1.96825 t=63164
zhong 	種	c=6 d=0.121238 t=63164
zhong 	終	c=1 d=1.36784e-38 t=63164
zhong 	腫	c=2 d=6.73844e-55 t=63164
zhong 	衆	c=0 d=8.52551e-37 t=63164
zhong 	鍾	c=1 d=2.3549e-47 t=63164
zhong cai 	仲裁	c=0 d=2.3614e-51 t=63164
zhong cang gu 	重倉股	c=2 d=2.6552e-21 t=63164
zhong chou 	衆籌	c=5 d=4.55315e-39 t=63164
zhong chu 	中儲	c=1 d=2.32189e-28 t=63164
zhong chu fa zhan 	中儲發展	c=2 d=1.97241e-50 t=63164
zhong chu gu fen 	中儲股份	c=17 d=0.0443785 t=63164
zhong da 	重大	c=1 d=1.06585e-15 t=63164
zhong da jue ding 	重大決定	c=1 d=2.00085e-42 t=63164
zhong dang 	中檔	c=2 d=1.45494e-29 t=63164
zhong deng 	中等	c=2 d=1.04525e-50 t=63164
zhong dian 	中點	c=4 d=0.00419023 t=63164
zhong dian 	重點	c=4 d=0.00421123 t=63164
zhong duan 	中斷	c=3 d=2.83838e-33 t=63164
zhong duan 	終端	c=8 d=0.0235177 t=63164
zhong duo 	衆多	c=4 d=2.4713e-15 t=63164
zhong er 	中二	c=1 d=4.49147e-55 t=63164
zhong fan 	中飯	c=1 d=0.0492917 t=63164
zhong guo 	中國	c=17 d=0.000791605 t=63164
zhong guo bei fang 	中國北方	c=1 d=1 t=56360
zhong guo ren 	中國人	c=1 d=3.40695e-39 t=63164
zhong guo yin hang 	中國銀行	c=4 d=6.38264e-20 t=63164
zhong hua 	中華	c=4 d=9.86622e-19 t=63164
zhong hui 	終會	c=1 d=2.66346e-25 t=63164
zhong jian 	中間	c=2 d=1.53961e-18 t=63164
zhong jian shang 	中間商	c=1 d=3.14662e-45 t=63164
zhong jiu 	終究	c=4 d=1.53194e-18 t=63164
zhong kao 	中考	c=3 d=2.20487e-41 t=63164
zhong kao ti 	中考題	c=1 d=7.08921e-42 t=63164
zhong ken 	中肯	c=1 d=1.80203e-46 t=63164
zhong liu di zhu 	中流砥柱	c=1 d=1.34702e-34 t=63164
zhong qiu 	中秋	c=4 d=1.24455e-15 t=63164
